"Jobs","Jobs"
"Schedules","Schedules"
"Shows allowed Jobs","Shows allowed Jobs"
"enabled","enabled"
"disabled","disabled"
"Please correct the jobs you requested.","Please correct the jobs you requested."
"You updated a total of %1 records.","You updated a total of %1 records."
"Something went wrong while updating the job(s) status. Please review the log and try again.","Something went wrong while updating the job(s) status. Please review the log and try again."
"Please correct the schedules you requested.","Please correct the schedules you requested."
"You deleted a total of %1 records.","You deleted a total of %1 records."
"We can\'t delete these schedules right now. Please review the log and try again.","We can\'t delete these schedules right now. Please review the log and try again."
"Cron","Cron"
"Cron (Scheduled Clean Settings)","Cron (Scheduled Clean Settings)"
"Enable Schedule Cleaning","Enable Schedule Cleaning"
"Status task","Status task"
"Save Schedule, Days","Save Schedule, Days"
"Last Clean","Last Clean"
"Active","Active"
"Inactive","Inactive"
"Pending","Pending"
"Running","Running"
"Success","Success"
"Missed","Missed"
"Error","Error"
"Change Status","Change Status"
"Status","Status"
"Job Name","Job Name"
"Group","Group"
"Cron Expression","Cron Expression"
"Module","Module"
"Instance","Instance"
"Delete","Delete"
"Are you sure you want to delete the selected schedules?","Are you sure you want to delete the selected schedules?"
"Created","Created"
"Scheduled","Scheduled"
"Executed","Executed"
"Finished","Finished"
"Message","Message"
